time_sec,ECG_I,ECG_I_filtered,,,X2:ECG(raw),,X2:ECG(filt)
0.8367,-0.2778,0.0497,,,-277.8,,49.7
0.84,-0.285,0.0467,,,-285,,46.7
0.8433,-0.2808,0.0487,,,-280.8,,48.7
0.8467,-0.2778,0.0512,,,-277.8,,51.2
0.85,-0.2811,0.0488,,,-281.1,,48.8
0.8533,-0.2838,0.0472,,,-283.8,,47.2
0.8567,-0.2775,0.0483,,,-277.5,,48.3
0.86,-0.2859,0.0482,,,-285.9,,48.2
0.8633,-0.2766,0.0485,,,-276.6,,48.5
0.8667,-0.2808,0.0501,,,-280.8,,50.1
0.87,-0.2799,0.0497,,,-279.9,,49.7
0.8733,-0.2793,0.0476,,,-279.3,,47.6
0.8767,-0.2835,0.0467,,,-283.5,,46.7
0.88,-0.2811,0.0479,,,-281.1,,47.9
0.8833,-0.2751,0.0514,,,-275.1,,51.4
0.8867,-0.2751,0.0561,,,-275.1,,56.1
0.89,-0.2679,0.0588,,,-267.9,,58.8
0.8933,-0.27,0.0578,,,-270,,57.8
0.8967,-0.2754,0.0551,,,-275.4,,55.1
0.9,-0.2718,0.0527,,,-271.8,,52.7
0.9033,-0.2799,0.0511,,,-279.9,,51.1
0.9067,-0.2748,0.0512,,,-274.8,,51.2
0.91,-0.2745,0.0534,,,-274.5,,53.4
0.9133,-0.2733,0.055,,,-273.3,,55
0.9167,-0.2727,0.0539,,,-272.7,,53.9
0.92,-0.2739,0.0535,,,-273.9,,53.5
0.9233,-0.2721,0.056,,,-272.1,,56
0.9267,-0.2691,0.0564,,,-269.1,,56.4
0.93,-0.2754,0.0533,,,-275.4,,53.3
0.9333,-0.273,0.0525,,,-273,,52.5
0.9367,-0.2727,0.0548,,,-272.7,,54.8
0.94,-0.27,0.0565,,,-270,,56.5
0.9433,-0.2691,0.0571,,,-269.1,,57.1
0.9467,-0.2691,0.0577,,,-269.1,,57.7
0.95,-0.2676,0.0586,,,-267.6,,58.6
0.9533,-0.2673,0.0584,,,-267.3,,58.4
0.9567,-0.2706,0.0563,,,-270.6,,56.3
0.96,-0.2688,0.0564,,,-268.8,,56.4
0.9633,-0.2637,0.0619,,,-263.7,,61.9
0.9667,-0.2613,0.0658,,,-261.3,,65.8
0.97,-0.2586,0.0646,,,-258.6,,64.6
0.9733,-0.2625,0.0648,,,-262.5,,64.8
0.9767,-0.258,0.0669,,,-258,,66.9
0.98,-0.2562,0.0671,,,-256.2,,67.1
0.9833,-0.2586,0.0695,,,-258.6,,69.5
0.9867,-0.2481,0.0735,,,-248.1,,73.5
0.99,-0.2547,0.0721,,,-254.7,,72.1
0.9933,-0.2547,0.0688,,,-254.7,,68.8
0.9967,-0.2562,0.0687,,,-256.2,,68.7
1,-0.2547,0.0686,,,-254.7,,68.6
1.0033,-0.2565,0.0689,,,-256.5,,68.9
1.0067,-0.2508,0.0718,,,-250.8,,71.8
1.01,-0.2517,0.0727,,,-251.7,,72.7
1.0133,-0.2514,0.0724,,,-251.4,,72.4
1.0167,-0.249,0.0741,,,-249,,74.1
1.02,-0.2484,0.0746,,,-248.4,,74.6
1.0233,-0.2505,0.0739,,,-250.5,,73.9
1.0267,-0.2472,0.074,,,-247.2,,74
1.03,-0.2529,0.0712,,,-252.9,,71.2
1.0333,-0.2547,0.0681,,,-254.7,,68.1
1.0367,-0.2496,0.0711,,,-249.6,,71.1
1.04,-0.2508,0.0746,,,-250.8,,74.6
1.0433,-0.2448,0.0741,,,-244.8,,74.1
1.0467,-0.2496,0.0754,,,-249.6,,75.4
1.05,-0.2418,0.0776,,,-241.8,,77.6
1.0533,-0.2499,0.0743,,,-249.9,,74.3
1.0567,-0.2487,0.0701,,,-248.7,,70.1
1.06,-0.2544,0.0705,,,-254.4,,70.5
1.0633,-0.2442,0.0735,,,-244.2,,73.5
1.0667,-0.2469,0.0775,,,-246.9,,77.5
1.07,-0.2388,0.0798,,,-238.8,,79.8
1.0733,-0.2454,0.0768,,,-245.4,,76.8
1.0767,-0.2457,0.0744,,,-245.7,,74.4
1.08,-0.2436,0.0773,,,-243.6,,77.3
1.0833,-0.2409,0.0788,,,-240.9,,78.8
1.0867,-0.2439,0.0773,,,-243.9,,77.3
1.09,-0.2403,0.0784,,,-240.3,,78.4
1.0933,-0.2403,0.0807,,,-240.3,,80.7
1.0967,-0.2385,0.0804,,,-238.5,,80.4
1.1,-0.2382,0.0812,,,-238.2,,81.2
1.1033,-0.2367,0.0838,,,-236.7,,83.8
1.1067,-0.2319,0.085,,,-231.9,,85
1.11,-0.2355,0.0865,,,-235.5,,86.5
1.1133,-0.2271,0.0886,,,-227.1,,88.6
1.1167,-0.2343,0.0865,,,-234.3,,86.5
1.12,-0.2358,0.0818,,,-235.8,,81.8
1.1233,-0.2364,0.0813,,,-236.4,,81.3
1.1267,-0.2352,0.0839,,,-235.2,,83.9
1.13,-0.2343,0.0829,,,-234.3,,82.9
1.1333,-0.2385,0.079,,,-238.5,,79
1.1367,-0.24,0.0786,,,-240,,78.6
1.14,-0.234,0.0822,,,-234,,82.2
1.1433,-0.2331,0.0851,,,-233.1,,85.1
1.1467,-0.2307,0.0856,,,-230.7,,85.6
1.15,-0.2331,0.0848,,,-233.1,,84.8
1.1533,-0.2316,0.0833,,,-231.6,,83.3
1.1567,-0.2364,0.0825,,,-236.4,,82.5
1.16,-0.2289,0.0851,,,-228.9,,85.1
1.1633,-0.2274,0.0901,,,-227.4,,90.1
1.1667,-0.2229,0.093,,,-222.9,,93
1.17,-0.2232,0.0917,,,-223.2,,91.7
1.1733,-0.2247,0.0919,,,-224.7,,91.9
1.1767,-0.216,0.0989,,,-216,,98.9
1.18,-0.2073,0.1076,,,-207.3,,107.6
1.1833,-0.2046,0.1108,,,-204.6,,110.8
1.1867,-0.2031,0.1113,,,-203.1,,111.3
1.19,-0.201,0.1133,,,-201,,113.3
1.1933,-0.2025,0.1121,,,-202.5,,112.1
1.1967,-0.2091,0.1047,,,-209.1,,104.7
1.2,-0.2127,0.1008,,,-212.7,,100.8
1.2033,-0.2082,0.1057,,,-208.2,,105.7
1.2067,-0.207,0.1064,,,-207,,106.4
1.21,-0.2178,0.0945,,,-217.8,,94.5
1.2133,-0.2316,0.0826,,,-231.6,,82.6
1.2167,-0.2313,0.0802,,,-231.3,,80.2
1.22,-0.2346,0.0788,,,-234.6,,78.8
1.2233,-0.2373,0.075,,,-237.3,,75
1.2267,-0.2364,0.0757,,,-236.4,,75.7
1.23,-0.2325,0.0799,,,-232.5,,79.9
1.2333,-0.2295,0.0822,,,-229.5,,82.2
1.2367,-0.2274,0.0846,,,-227.4,,84.6
1.24,-0.2205,0.0907,,,-220.5,,90.7
1.2433,-0.2136,0.098,,,-213.6,,98
1.2467,-0.2103,0.1011,,,-210.3,,101.1
1.25,-0.2109,0.099,,,-210.9,,99
1.2533,-0.2154,0.0971,,,-215.4,,97.1
1.2567,-0.2097,0.0989,,,-209.7,,98.9
1.26,-0.2124,0.0994,,,-212.4,,99.4
1.2633,-0.2121,0.0974,,,-212.1,,97.4
1.2667,-0.2118,0.0981,,,-211.8,,98.1
1.27,-0.21,0.1,,,-210,,100
1.2733,-0.2124,0.0971,,,-212.4,,97.1
1.2767,-0.216,0.0927,,,-216,,92.7
1.28,-0.2178,0.0923,,,-217.8,,92.3
1.2833,-0.2142,0.0936,,,-214.2,,93.6
1.2867,-0.2151,0.0948,,,-215.1,,94.8
1.29,-0.2097,0.0977,,,-209.7,,97.7
1.2933,-0.2106,0.0989,,,-210.6,,98.9
1.2967,-0.2115,0.0955,,,-211.5,,95.5
1.3,-0.216,0.0929,,,-216,,92.9
1.3033,-0.2124,0.0945,,,-212.4,,94.5
1.3067,-0.2118,0.0964,,,-211.8,,96.4
1.31,-0.2088,0.098,,,-208.8,,98
1.3133,-0.1968,0.1106,,,-196.8,,110.6
1.3167,-0.1518,0.1552,,,-151.8,,155.2
1.32,-0.0744,0.2307,,,-74.4,,230.7
1.3233,-0.0285,0.2792,,,-28.5,,279.2
1.3267,-0.0747,0.2282,,,-74.7,,228.2
1.33,-0.2397,0.0672,,,-239.7,,67.2
1.3333,-0.4671,-0.163,,,-467.1,,-163
1.3367,-0.7305,-0.4226,,,-730.5,,-422.6
1.34,-0.9681,-0.664,,,-968.1,,-664
1.3433,-1.1367,-0.8199,,,-1136.7,,-819.9
1.3467,-1.1409,-0.8414,,,-1140.9,,-841.4
1.35,-1.0452,-0.7178,,,-1045.2,,-717.8
1.3533,-0.78,-0.4814,,,-780,,-481.4
1.3567,-0.5523,-0.2257,,,-552.3,,-225.7
1.36,-0.3729,-0.0666,,,-372.9,,-66.6
1.3633,-0.3552,-0.0373,,,-355.2,,-37.3
1.3667,-0.378,-0.0639,,,-378,,-63.9
1.37,-0.3762,-0.0623,,,-376.2,,-62.3
1.3733,-0.3357,-0.0205,,,-335.7,,-20.5
1.3767,-0.2907,0.0243,,,-290.7,,24.3
1.38,-0.2661,0.0476,,,-266.1,,47.6
1.3833,-0.2577,0.0575,,,-257.7,,57.5
1.3867,-0.2448,0.0692,,,-244.8,,69.2
1.39,-0.2304,0.0835,,,-230.4,,83.5
1.3933,-0.2217,0.0927,,,-221.7,,92.7
1.3967,-0.2172,0.0961,,,-217.2,,96.1
1.4,-0.2148,0.099,,,-214.8,,99
1.4033,-0.2094,0.1037,,,-209.4,,103.7
1.4067,-0.2058,0.1074,,,-205.8,,107.4
1.41,-0.2049,0.1076,,,-204.9,,107.6
1.4133,-0.2082,0.1051,,,-208.2,,105.1
1.4167,-0.207,0.1041,,,-207,,104.1
1.42,-0.2073,0.107,,,-207.3,,107
1.4233,-0.1989,0.11,,,-198.9,,110
1.4267,-0.207,0.1083,,,-207,,108.3
1.43,-0.2034,0.1045,,,-203.4,,104.5
1.4333,-0.2124,0.1018,,,-212.4,,101.8
1.4367,-0.2106,0.0987,,,-210.6,,98.7
1.44,-0.2145,0.0973,,,-214.5,,97.3
1.4433,-0.2079,0.102,,,-207.9,,102
1.4467,-0.2049,0.1067,,,-204.9,,106.7
1.45,-0.204,0.1046,,,-204,,104.6
1.4533,-0.2094,0.1019,,,-209.4,,101.9
1.4567,-0.207,0.1026,,,-207,,102.6
1.46,-0.2073,0.101,,,-207.3,,101
1.4633,-0.2151,0.0965,,,-215.1,,96.5
1.4667,-0.213,0.0941,,,-213,,94.1
1.47,-0.2157,0.0944,,,-215.7,,94.4
1.4733,-0.2145,0.0942,,,-214.5,,94.2
1.4767,-0.2166,0.0916,,,-216.6,,91.6
1.48,-0.2202,0.0881,,,-220.2,,88.1
1.4833,-0.2226,0.0863,,,-222.6,,86.3
1.4867,-0.2226,0.0845,,,-222.6,,84.5
1.49,-0.228,0.0803,,,-228,,80.3
1.4933,-0.2313,0.0769,,,-231.3,,76.9
1.4967,-0.2307,0.0758,,,-230.7,,75.8
1.5,-0.2337,0.0745,,,-233.7,,74.5
1.5033,-0.2346,0.0726,,,-234.6,,72.6
1.5067,-0.2349,0.0716,,,-234.9,,71.6
1.51,-0.237,0.0706,,,-237,,70.6
1.5133,-0.2391,0.0673,,,-239.1,,67.3
1.5167,-0.2463,0.0604,,,-246.3,,60.4
1.52,-0.2523,0.0544,,,-252.3,,54.4
1.5233,-0.2523,0.054,,,-252.3,,54
1.5267,-0.2523,0.0543,,,-252.3,,54.3
1.53,-0.2559,0.0497,,,-255.9,,49.7
1.5333,-0.2628,0.0444,,,-262.8,,44.4
1.5367,-0.2646,0.0404,,,-264.6,,40.4
1.54,-0.2715,0.0351,,,-271.5,,35.1
1.5433,-0.2763,0.0296,,,-276.3,,29.6
1.5467,-0.2811,0.0245,,,-281.1,,24.5
1.55,-0.2871,0.0184,,,-287.1,,18.4
1.5533,-0.2925,0.0148,,,-292.5,,14.8
1.5567,-0.2895,0.0136,,,-289.5,,13.6
1.56,-0.2994,0.0093,,,-299.4,,9.3
1.5633,-0.2991,0.0042,,,-299.1,,4.2
1.5667,-0.3045,0.0027,,,-304.5,,2.7
1.57,-0.3033,0.0017,,,-303.3,,1.7
1.5733,-0.3063,0.0002,,,-306.3,,0.2
1.5767,-0.3042,-0.0001,,,-304.2,,-0.1
1.58,-0.3096,-0.0011,,,-309.6,,-1.1
1.5833,-0.3033,-0.0011,,,-303.3,,-1.1
1.5867,-0.3051,0.0039,,,-305.1,,3.9
1.59,-0.2907,0.0128,,,-290.7,,12.8
1.5933,-0.2823,0.0242,,,-282.3,,24.2
1.5967,-0.2667,0.0388,,,-266.7,,38.8
1.6,-0.2535,0.0521,,,-253.5,,52.1
1.6033,-0.2412,0.0633,,,-241.2,,63.3
1.6067,-0.2298,0.0769,,,-229.8,,76.9
1.61,-0.2127,0.0906,,,-212.7,,90.6
1.6133,-0.2055,0.1002,,,-205.5,,100.2
1.6167,-0.1965,0.1082,,,-196.5,,108.2
1.62,-0.1881,0.1151,,,-188.1,,115.1
1.6233,-0.1854,0.12,,,-185.4,,120
1.6267,-0.1761,0.1264,,,-176.1,,126.4
1.63,-0.1716,0.1328,,,-171.6,,132.8
1.6333,-0.1662,0.1362,,,-166.2,,136.2
1.6367,-0.1629,0.1408,,,-162.9,,140.8
1.64,-0.156,0.1457,,,-156,,145.7
1.6433,-0.1584,0.145,,,-158.4,,145
1.6467,-0.1563,0.1443,,,-156.3,,144.3
1.65,-0.1557,0.1479,,,-155.7,,147.9
1.6533,-0.15,0.1489,,,-150,,148.9
1.6567,-0.1563,0.1472,,,-156.3,,147.2
1.66,-0.1491,0.1501,,,-149.1,,150.1
1.6633,-0.1476,0.1527,,,-147.6,,152.7
1.6667,-0.1524,0.1495,,,-152.4,,149.5
1.67,-0.1494,0.1477,,,-149.4,,147.7
1.6733,-0.1509,0.1509,,,-150.9,,150.9
1.6767,-0.1464,0.152,,,-146.4,,152
1.68,-0.1485,0.1494,,,-148.5,,149.4
1.6833,-0.1503,0.1501,,,-150.3,,150.1
1.6867,-0.1425,0.1539,,,-142.5,,153.9
